instant,date,season,year,mnth,hour,holiday,weekday,workingday,weather_condition,temperature,feels_like_temperature,humidity,windspeed,casual_users,registered_users,total_rentals,month,month_name,day,hour_category,day_type
67,2011-01-03,Spring,2011,1,21,0,Monday,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,1,Jan,3,Malam,Hari Kerja
68,2011-01-03,Spring,2011,1,22,0,Monday,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,1,Jan,3,Malam,Hari Kerja
69,2011-01-03,Spring,2011,1,23,0,Monday,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,1,Jan,3,Malam,Hari Kerja
70,2011-01-04,Spring,2011,1,0,0,Tuesday,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,1,Jan,4,Dini Hari,Hari Kerja
71,2011-01-04,Spring,2011,1,1,0,Tuesday,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,1,Jan,4,Dini Hari,Hari Kerja
72,2011-01-04,Spring,2011,1,2,0,Tuesday,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,1,Jan,4,Dini Hari,Hari Kerja
73,2011-01-04,Spring,2011,1,4,0,Tuesday,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,1,Jan,4,Dini Hari,Hari Kerja
74,2011-01-04,Spring,2011,1,5,0,Tuesday,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,1,Jan,4,Dini Hari,Hari Kerja
75,2011-01-04,Spring,2011,1,6,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,1,Jan,4,Pagi,Hari Kerja
76,2011-01-04,Spring,2011,1,7,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,1,Jan,4,Pagi,Hari Kerja
77,2011-01-04,Spring,2011,1,8,0,Tuesday,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,1,Jan,4,Pagi,Hari Kerja
78,2011-01-04,Spring,2011,1,9,0,Tuesday,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,1,Jan,4,Pagi,Hari Kerja
79,2011-01-04,Spring,2011,1,10,0,Tuesday,1,Mist,0.16,0.1364,0.69,0.3284,5,37,42,1,Jan,4,Pagi,Hari Kerja
80,2011-01-04,Spring,2011,1,11,0,Tuesday,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,1,Jan,4,Pagi,Hari Kerja
81,2011-01-04,Spring,2011,1,12,0,Tuesday,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,1,Jan,4,Siang,Hari Kerja
82,2011-01-04,Spring,2011,1,13,0,Tuesday,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,1,Jan,4,Siang,Hari Kerja
83,2011-01-04,Spring,2011,1,14,0,Tuesday,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,1,Jan,4,Siang,Hari Kerja
84,2011-01-04,Spring,2011,1,15,0,Tuesday,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,1,Jan,4,Siang,Hari Kerja
85,2011-01-04,Spring,2011,1,16,0,Tuesday,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,1,Jan,4,Siang,Hari Kerja
86,2011-01-04,Spring,2011,1,17,0,Tuesday,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,1,Jan,4,Siang,Hari Kerja
87,2011-01-04,Spring,2011,1,18,0,Tuesday,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,1,Jan,4,Malam,Hari Kerja
88,2011-01-04,Spring,2011,1,19,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,1,Jan,4,Malam,Hari Kerja
89,2011-01-04,Spring,2011,1,20,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,1,Jan,4,Malam,Hari Kerja
90,2011-01-04,Spring,2011,1,21,0,Tuesday,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,1,Jan,4,Malam,Hari Kerja
91,2011-01-04,Spring,2011,1,22,0,Tuesday,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,1,Jan,4,Malam,Hari Kerja
92,2011-01-04,Spring,2011,1,23,0,Tuesday,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,1,Jan,4,Malam,Hari Kerja
93,2011-01-05,Spring,2011,1,0,0,Wednesday,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,1,Jan,5,Dini Hari,Hari Kerja
94,2011-01-05,Spring,2011,1,1,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,1,Jan,5,Dini Hari,Hari Kerja
95,2011-01-05,Spring,2011,1,2,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,1,Jan,5,Dini Hari,Hari Kerja
96,2011-01-05,Spring,2011,1,4,0,Wednesday,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,1,Jan,5,Dini Hari,Hari Kerja
97,2011-01-05,Spring,2011,1,5,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,1,Jan,5,Dini Hari,Hari Kerja
98,2011-01-05,Spring,2011,1,6,0,Wednesday,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,1,Jan,5,Pagi,Hari Kerja
99,2011-01-05,Spring,2011,1,7,0,Wednesday,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,1,Jan,5,Pagi,Hari Kerja
100,2011-01-05,Spring,2011,1,8,0,Wednesday,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,1,Jan,5,Pagi,Hari Kerja
101,2011-01-05,Spring,2011,1,9,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,1,Jan,5,Pagi,Hari Kerja
102,2011-01-05,Spring,2011,1,10,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,1,Jan,5,Pagi,Hari Kerja
103,2011-01-05,Spring,2011,1,11,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,1,Jan,5,Pagi,Hari Kerja
104,2011-01-05,Spring,2011,1,12,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,1,Jan,5,Siang,Hari Kerja
105,2011-01-05,Spring,2011,1,13,0,Wednesday,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,1,Jan,5,Siang,Hari Kerja
106,2011-01-05,Spring,2011,1,14,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,1,Jan,5,Siang,Hari Kerja
107,2011-01-05,Spring,2011,1,15,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,1,Jan,5,Siang,Hari Kerja
108,2011-01-05,Spring,2011,1,16,0,Wednesday,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,1,Jan,5,Siang,Hari Kerja
109,2011-01-05,Spring,2011,1,17,0,Wednesday,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,1,Jan,5,Siang,Hari Kerja
110,2011-01-05,Spring,2011,1,18,0,Wednesday,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,1,Jan,5,Malam,Hari Kerja
111,2011-01-05,Spring,2011,1,19,0,Wednesday,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,1,Jan,5,Malam,Hari Kerja
112,2011-01-05,Spring,2011,1,20,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,1,Jan,5,Malam,Hari Kerja
113,2011-01-05,Spring,2011,1,21,0,Wednesday,1,Clear,0.2,0.197,0.51,0.194,3,40,43,1,Jan,5,Malam,Hari Kerja
114,2011-01-05,Spring,2011,1,22,0,Wednesday,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,1,Jan,5,Malam,Hari Kerja
115,2011-01-05,Spring,2011,1,23,0,Wednesday,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,1,Jan,5,Malam,Hari Kerja
116,2011-01-06,Spring,2011,1,0,0,Thursday,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,1,Jan,6,Dini Hari,Hari Kerja
117,2011-01-06,Spring,2011,1,1,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,1,Jan,6,Dini Hari,Hari Kerja
118,2011-01-06,Spring,2011,1,2,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,1,Jan,6,Dini Hari,Hari Kerja
119,2011-01-06,Spring,2011,1,4,0,Thursday,1,Mist,0.16,0.197,0.64,0.0896,0,1,1,1,Jan,6,Dini Hari,Hari Kerja
120,2011-01-06,Spring,2011,1,5,0,Thursday,1,Mist,0.14,0.1818,0.69,0.0896,0,4,4,1,Jan,6,Dini Hari,Hari Kerja
121,2011-01-06,Spring,2011,1,6,0,Thursday,1,Mist,0.14,0.1667,0.63,0.1045,0,36,36,1,Jan,6,Pagi,Hari Kerja
122,2011-01-06,Spring,2011,1,7,0,Thursday,1,Mist,0.16,0.2273,0.59,0.0,0,95,95,1,Jan,6,Pagi,Hari Kerja
123,2011-01-06,Spring,2011,1,8,0,Thursday,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,1,Jan,6,Pagi,Hari Kerja
124,2011-01-06,Spring,2011,1,9,0,Thursday,1,Mist,0.18,0.2424,0.51,0.0,6,116,122,1,Jan,6,Pagi,Hari Kerja
125,2011-01-06,Spring,2011,1,10,0,Thursday,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,1,Jan,6,Pagi,Hari Kerja
126,2011-01-06,Spring,2011,1,11,0,Thursday,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,1,Jan,6,Pagi,Hari Kerja
127,2011-01-06,Spring,2011,1,12,0,Thursday,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,1,Jan,6,Siang,Hari Kerja
128,2011-01-06,Spring,2011,1,13,0,Thursday,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,1,Jan,6,Siang,Hari Kerja
129,2011-01-06,Spring,2011,1,14,0,Thursday,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,1,Jan,6,Siang,Hari Kerja
130,2011-01-06,Spring,2011,1,15,0,Thursday,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,1,Jan,6,Siang,Hari Kerja
131,2011-01-06,Spring,2011,1,16,0,Thursday,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,1,Jan,6,Siang,Hari Kerja
132,2011-01-06,Spring,2011,1,17,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,1,Jan,6,Siang,Hari Kerja
133,2011-01-06,Spring,2011,1,18,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,1,Jan,6,Malam,Hari Kerja
134,2011-01-06,Spring,2011,1,19,0,Thursday,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,1,Jan,6,Malam,Hari Kerja
135,2011-01-06,Spring,2011,1,20,0,Thursday,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,1,Jan,6,Malam,Hari Kerja
136,2011-01-06,Spring,2011,1,21,0,Thursday,1,Mist,0.22,0.2121,0.55,0.2239,0,48,48,1,Jan,6,Malam,Hari Kerja
137,2011-01-06,Spring,2011,1,22,0,Thursday,1,Mist,0.22,0.2121,0.51,0.2836,1,51,52,1,Jan,6,Malam,Hari Kerja
138,2011-01-06,Spring,2011,1,23,0,Thursday,1,Mist,0.2,0.197,0.59,0.194,4,19,23,1,Jan,6,Malam,Hari Kerja
139,2011-01-07,Spring,2011,1,0,0,Friday,1,Mist,0.2,0.197,0.64,0.194,4,13,17,1,Jan,7,Dini Hari,Hari Kerja
140,2011-01-07,Spring,2011,1,1,0,Friday,1,Mist,0.2,0.197,0.69,0.2239,2,5,7,1,Jan,7,Dini Hari,Hari Kerja
141,2011-01-07,Spring,2011,1,2,0,Friday,1,Mist,0.2,0.197,0.69,0.2239,0,1,1,1,Jan,7,Dini Hari,Hari Kerja
142,2011-01-07,Spring,2011,1,4,0,Friday,1,Mist,0.2,0.2121,0.69,0.1343,0,1,1,1,Jan,7,Dini Hari,Hari Kerja
143,2011-01-07,Spring,2011,1,5,0,Friday,1,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,1,Jan,7,Dini Hari,Hari Kerja
144,2011-01-07,Spring,2011,1,6,0,Friday,1,Mist,0.2,0.2576,0.69,0.0,8,26,34,1,Jan,7,Pagi,Hari Kerja
145,2011-01-07,Spring,2011,1,7,0,Friday,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,1,Jan,7,Pagi,Hari Kerja
146,2011-01-07,Spring,2011,1,8,0,Friday,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,1,Jan,7,Pagi,Hari Kerja
147,2011-01-07,Spring,2011,1,9,0,Friday,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,1,Jan,7,Pagi,Hari Kerja
148,2011-01-07,Spring,2011,1,10,0,Friday,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,1,Jan,7,Pagi,Hari Kerja
149,2011-01-07,Spring,2011,1,11,0,Friday,1,Mist,0.2,0.197,0.4,0.2239,19,48,67,1,Jan,7,Pagi,Hari Kerja
150,2011-01-07,Spring,2011,1,12,0,Friday,1,Mist,0.2,0.197,0.37,0.2537,9,50,59,1,Jan,7,Siang,Hari Kerja
151,2011-01-07,Spring,2011,1,13,0,Friday,1,Mist,0.2,0.1818,0.37,0.2836,9,64,73,1,Jan,7,Siang,Hari Kerja
152,2011-01-07,Spring,2011,1,14,0,Friday,1,Mist,0.2,0.197,0.4,0.2537,7,43,50,1,Jan,7,Siang,Hari Kerja
153,2011-01-07,Spring,2011,1,15,0,Friday,1,Mist,0.2,0.2121,0.37,0.1642,9,63,72,1,Jan,7,Siang,Hari Kerja
154,2011-01-07,Spring,2011,1,16,0,Friday,1,Mist,0.2,0.2121,0.37,0.1642,5,82,87,1,Jan,7,Siang,Hari Kerja
155,2011-01-07,Spring,2011,1,17,0,Friday,1,Mist,0.2,0.2576,0.37,0.0,9,178,187,1,Jan,7,Siang,Hari Kerja
156,2011-01-07,Spring,2011,1,18,0,Friday,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,1,Jan,7,Malam,Hari Kerja
157,2011-01-07,Spring,2011,1,19,0,Friday,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,1,Jan,7,Malam,Hari Kerja
158,2011-01-07,Spring,2011,1,20,0,Friday,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,1,Jan,7,Malam,Hari Kerja
159,2011-01-07,Spring,2011,1,21,0,Friday,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,1,Jan,7,Malam,Hari Kerja
160,2011-01-07,Spring,2011,1,22,0,Friday,1,Mist,0.18,0.197,0.43,0.1642,2,34,36,1,Jan,7,Malam,Hari Kerja
161,2011-01-07,Spring,2011,1,23,0,Friday,1,Mist,0.18,0.197,0.51,0.1642,1,14,15,1,Jan,7,Malam,Hari Kerja
162,2011-01-08,Spring,2011,1,0,0,Saturday,0,Mist,0.18,0.197,0.51,0.1642,1,24,25,1,Jan,8,Dini Hari,Hari Libur/Akhir Pekan
163,2011-01-08,Spring,2011,1,1,0,Saturday,0,Mist,0.18,0.2121,0.55,0.0896,1,15,16,1,Jan,8,Dini Hari,Hari Libur/Akhir Pekan
164,2011-01-08,Spring,2011,1,2,0,Saturday,0,Mist,0.18,0.2424,0.55,0.0,3,13,16,1,Jan,8,Dini Hari,Hari Libur/Akhir Pekan
165,2011-01-08,Spring,2011,1,3,0,Saturday,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,1,Jan,8,Dini Hari,Hari Libur/Akhir Pekan
166,2011-01-08,Spring,2011,1,4,0,Saturday,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,1,Jan,8,Dini Hari,Hari Libur/Akhir Pekan
167,2011-01-08,Spring,2011,1,5,0,Saturday,0,Mist,0.16,0.1667,0.74,0.1642,0,5,5,1,Jan,8,Dini Hari,Hari Libur/Akhir Pekan
168,2011-01-08,Spring,2011,1,6,0,Saturday,0,Mist,0.16,0.1667,0.74,0.1642,0,2,2,1,Jan,8,Pagi,Hari Libur/Akhir Pekan
169,2011-01-08,Spring,2011,1,7,0,Saturday,0,Mist,0.16,0.1818,0.74,0.1045,1,8,9,1,Jan,8,Pagi,Hari Libur/Akhir Pekan
170,2011-01-08,Spring,2011,1,8,0,Saturday,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15,1,Jan,8,Pagi,Hari Libur/Akhir Pekan
171,2011-01-08,Spring,2011,1,9,0,Saturday,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,20,20,1,Jan,8,Pagi,Hari Libur/Akhir Pekan
